Classification Id,Currency ISO Code,Default,Default Quantity,Max Quantity,Min Quantity,Modifiable,Sequence,Apttus_Config2__ClassificationId__r.Name,Apttus_Config2__ProductId__r.Product Name
"CP-0000016966","CHF","false","1.0","1.0","0.0","true","","Bournemouth Travel","Oneway Single Transfer - BOH Airport to School"
"CP-0000016967","CHF","false","1.0","1.0","0.0","true","","Miami Other","Orlando"
"CP-0000016968","CHF","false","1.0","1.0","0.0","true","","Bristol Travel","Oneway Single Transfer - BRS Airport to School"
"CP-0000016969","CHF","false","1.0","1.0","0.0","true","","Bournemouth Accommodation","Own Accommodation"
"CP-0000016970","CHF","false","1.0","1.0","0.0","true","","Chicago Accommodation","Own Accommodation"
"CP-0000016971","CHF","false","1.0","1.0","0.0","true","","Costa Rica Accommodation","Own Accommodation"
"CP-0000016972","CHF","false","1.0","1.0","0.0","true","","Paris Travel","Oneway Single Transfer - BVA Airport to School"
"CP-0000016973","CHF","false","1.0","1.0","0.0","true","","Bristol Other","Oxford and Bournemouth"
"CP-0000016974","CHF","false","1.0","1.0","0.0","true","","Costa Rica Other","Panama"
"CP-0000016975","CHF","false","1.0","1.0","0.0","true","","Singapore Accommodation","Pelajar House (International House) Multi"
"CP-0000016976","CHF","false","1.0","1.0","0.0","true","","Singapore Accommodation","Pelajar House (International House) Twin"
"CP-0000016977","CHF","false","1.0","1.0","0.0","true","","Singapore Accommodation","Pelajar House Multi Extra Night"
"CP-0000016978","CHF","false","1.0","1.0","0.0","true","","Singapore Accommodation","Pelajar House Single"
"CP-0000016979","CHF","false","1.0","1.0","0.0","true","","Singapore Accommodation","Pelajar House Single Extra Night"
"CP-0000016980","CHF","false","1.0","1.0","0.0","true","","Singapore Accommodation","Pelajar House Twin Extra Night"
"CP-0000016981","CHF","false","1.0","1.0","0.0","true","","Brisbane Other","Rain Forest"
"CP-0000016982","CHF","false","1.0","1.0","0.0","true","","Malta St. Julian's Accommodation","Sefrandra Guest House Single Peak"
"CP-0000016983","CHF","false","1.0","1.0","0.0","true","","Malta St. Julian's Accommodation","Sefrandra Guesthouse Single Peak Extra Night"
"CP-0000016984","CHF","false","1.0","1.0","0.0","true","","Chicago Travel","Single and Return Transfer - Airport to School to Airport"
